setting,scale,rule,metric,value,unit
static,300,latest,vehicle_reduction_pct,-3.7037037037037033,ORTEC-SYNTH-300-s80
static,300,latest,distance_reduction_pct,-3.0293666801703845,ORTEC-SYNTH-300-s80
static,300,retry,vehicle_reduction_pct,7.4074074074074066,ORTEC-SYNTH-300-s80
static,300,retry,distance_reduction_pct,1.505890494542388,ORTEC-SYNTH-300-s80
static,300,latest,vehicle_reduction_pct,-3.7037037037037033,ORTEC-SYNTH-300-s82
static,300,latest,distance_reduction_pct,-4.597980712914846,ORTEC-SYNTH-300-s82
static,300,retry,vehicle_reduction_pct,7.4074074074074066,ORTEC-SYNTH-300-s82
static,300,retry,distance_reduction_pct,6.622299940872329,ORTEC-SYNTH-300-s82
static,300,latest,vehicle_reduction_pct,3.571428571428571,ORTEC-SYNTH-300-s83
static,300,latest,distance_reduction_pct,5.357032352976831,ORTEC-SYNTH-300-s83
static,300,retry,vehicle_reduction_pct,3.571428571428571,ORTEC-SYNTH-300-s83
static,300,retry,distance_reduction_pct,5.357032352976831,ORTEC-SYNTH-300-s83
static,300,latest,vehicle_reduction_pct,3.3333333333333335,ORTEC-SYNTH-300-s85
static,300,latest,distance_reduction_pct,26.59959437998807,ORTEC-SYNTH-300-s85
static,300,retry,vehicle_reduction_pct,3.3333333333333335,ORTEC-SYNTH-300-s85
static,300,retry,distance_reduction_pct,26.59959437998807,ORTEC-SYNTH-300-s85
static,300,latest,vehicle_reduction_pct,6.666666666666667,ORTEC-SYNTH-300-s86
static,300,latest,distance_reduction_pct,8.093094682137407,ORTEC-SYNTH-300-s86
static,300,retry,vehicle_reduction_pct,6.666666666666667,ORTEC-SYNTH-300-s86
static,300,retry,distance_reduction_pct,8.093094682137407,ORTEC-SYNTH-300-s86
static,300,latest,vehicle_reduction_pct,6.896551724137931,ORTEC-SYNTH-300-s87
static,300,latest,distance_reduction_pct,-2.5319687763801104,ORTEC-SYNTH-300-s87
static,300,retry,vehicle_reduction_pct,6.896551724137931,ORTEC-SYNTH-300-s87
static,300,retry,distance_reduction_pct,-2.5319687763801104,ORTEC-SYNTH-300-s87
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s89
static,300,latest,distance_reduction_pct,-2.859744347264102,ORTEC-SYNTH-300-s89
static,300,retry,vehicle_reduction_pct,11.76470588235294,ORTEC-SYNTH-300-s89
static,300,retry,distance_reduction_pct,5.179781915239565,ORTEC-SYNTH-300-s89
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s90
static,300,latest,distance_reduction_pct,2.033061804170331,ORTEC-SYNTH-300-s90
static,300,retry,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s90
static,300,retry,distance_reduction_pct,2.033061804170331,ORTEC-SYNTH-300-s90
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s84
static,300,latest,distance_reduction_pct,-1.3388064620334263,ORTEC-SYNTH-300-s84
static,300,retry,vehicle_reduction_pct,10.0,ORTEC-SYNTH-300-s84
static,300,retry,distance_reduction_pct,5.359032674534839,ORTEC-SYNTH-300-s84
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s92
static,300,latest,distance_reduction_pct,21.800366865839703,ORTEC-SYNTH-300-s92
static,300,retry,vehicle_reduction_pct,7.4074074074074066,ORTEC-SYNTH-300-s92
static,300,retry,distance_reduction_pct,2.446831695755612,ORTEC-SYNTH-300-s92
static,300,latest,vehicle_reduction_pct,3.7037037037037033,ORTEC-SYNTH-300-s94
static,300,latest,distance_reduction_pct,2.233937985881512,ORTEC-SYNTH-300-s94
static,300,retry,vehicle_reduction_pct,7.4074074074074066,ORTEC-SYNTH-300-s94
static,300,retry,distance_reduction_pct,1.3053644297500968,ORTEC-SYNTH-300-s94
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s93
static,300,latest,distance_reduction_pct,0.03565737409699484,ORTEC-SYNTH-300-s93
static,300,retry,vehicle_reduction_pct,10.714285714285714,ORTEC-SYNTH-300-s93
static,300,retry,distance_reduction_pct,4.787209782835539,ORTEC-SYNTH-300-s93
static,300,latest,vehicle_reduction_pct,3.125,ORTEC-SYNTH-300-s95
static,300,latest,distance_reduction_pct,0.11370967420499264,ORTEC-SYNTH-300-s95
static,300,retry,vehicle_reduction_pct,12.5,ORTEC-SYNTH-300-s95
static,300,retry,distance_reduction_pct,8.619443841826833,ORTEC-SYNTH-300-s95
static,300,latest,vehicle_reduction_pct,-6.666666666666667,ORTEC-SYNTH-300-s96
static,300,latest,distance_reduction_pct,-23.58256346809186,ORTEC-SYNTH-300-s96
static,300,retry,vehicle_reduction_pct,3.3333333333333335,ORTEC-SYNTH-300-s96
static,300,retry,distance_reduction_pct,-0.14417254325334827,ORTEC-SYNTH-300-s96
static,300,latest,vehicle_reduction_pct,3.3333333333333335,ORTEC-SYNTH-300-s98
static,300,latest,distance_reduction_pct,1.09317794414311,ORTEC-SYNTH-300-s98
static,300,retry,vehicle_reduction_pct,3.3333333333333335,ORTEC-SYNTH-300-s98
static,300,retry,distance_reduction_pct,16.816253316429712,ORTEC-SYNTH-300-s98
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s99
static,300,latest,distance_reduction_pct,2.1624874518439916,ORTEC-SYNTH-300-s99
static,300,retry,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s99
static,300,retry,distance_reduction_pct,2.1624874518439916,ORTEC-SYNTH-300-s99
static,300,latest,vehicle_reduction_pct,3.4482758620689653,ORTEC-SYNTH-300-s97
static,300,latest,distance_reduction_pct,24.463341933221454,ORTEC-SYNTH-300-s97
static,300,retry,vehicle_reduction_pct,10.344827586206897,ORTEC-SYNTH-300-s97
static,300,retry,distance_reduction_pct,5.202514841069058,ORTEC-SYNTH-300-s97
static,500,latest,vehicle_reduction_pct,-2.2222222222222223,ORTEC-SYNTH-500-s201
static,500,latest,distance_reduction_pct,-2.6512321397057197,ORTEC-SYNTH-500-s201
static,500,retry,vehicle_reduction_pct,6.666666666666667,ORTEC-SYNTH-500-s201
static,500,retry,distance_reduction_pct,1.6044782889083558,ORTEC-SYNTH-500-s201
static,500,latest,vehicle_reduction_pct,2.127659574468085,ORTEC-SYNTH-500-s200
static,500,latest,distance_reduction_pct,23.87845434690664,ORTEC-SYNTH-500-s200
static,500,retry,vehicle_reduction_pct,2.127659574468085,ORTEC-SYNTH-500-s200
static,500,retry,distance_reduction_pct,23.87845434690664,ORTEC-SYNTH-500-s200
static,500,latest,vehicle_reduction_pct,6.521739130434782,ORTEC-SYNTH-500-s203
static,500,latest,distance_reduction_pct,22.62673400380547,ORTEC-SYNTH-500-s203
static,500,retry,vehicle_reduction_pct,10.869565217391305,ORTEC-SYNTH-500-s203
static,500,retry,distance_reduction_pct,5.940856244911065,ORTEC-SYNTH-500-s203
static,500,latest,vehicle_reduction_pct,2.2222222222222223,ORTEC-SYNTH-500-s204
static,500,latest,distance_reduction_pct,0.04152231175470964,ORTEC-SYNTH-500-s204
static,500,retry,vehicle_reduction_pct,4.444444444444445,ORTEC-SYNTH-500-s204
static,500,retry,distance_reduction_pct,3.0379873542316638,ORTEC-SYNTH-500-s204
static,500,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-500-s205
static,500,latest,distance_reduction_pct,1.700394870140236,ORTEC-SYNTH-500-s205
static,500,retry,vehicle_reduction_pct,0.0,ORTEC-SYNTH-500-s205
static,500,retry,distance_reduction_pct,1.700394870140236,ORTEC-SYNTH-500-s205
static,500,latest,vehicle_reduction_pct,4.3478260869565215,ORTEC-SYNTH-500-s207
static,500,latest,distance_reduction_pct,2.572001766671867,ORTEC-SYNTH-500-s207
static,500,retry,vehicle_reduction_pct,4.3478260869565215,ORTEC-SYNTH-500-s207
static,500,retry,distance_reduction_pct,2.572001766671867,ORTEC-SYNTH-500-s207
