timestamp,scenario,base_instance,num_epochs,solver,time_limit_sec,overall_served_rate,overall_feasible,total_late_violations,total_capacity_violations,total_distance,total_runtime_sec,error
2026-05-02T14:23:43.434625,ORTEC-SYNTH-500-s221_dyn5e,ORTEC-SYNTH-500-s221,5,ortools,120,1.0000,True,0,0,330050.6,75.35,
2026-05-02T14:22:18.524883,ORTEC-SYNTH-500-s218_dyn5e,ORTEC-SYNTH-500-s218,5,ortools,120,0.8000,False,0,0,299429.3,189.96,
2026-05-02T14:24:26.317349,ORTEC-SYNTH-500-s222_dyn5e,ORTEC-SYNTH-500-s222,5,ortools,120,1.0000,True,0,0,387164.6,91.38,
2026-05-02T14:24:58.785684,ORTEC-SYNTH-500-s223_dyn5e,ORTEC-SYNTH-500-s223,5,ortools,120,1.0000,True,0,0,259286.0,81.16,
2026-05-02T14:25:28.487698,ORTEC-SYNTH-500-s224_dyn5e,ORTEC-SYNTH-500-s224,5,ortools,120,1.0000,True,0,0,325257.5,81.12,
2026-05-02T14:25:57.711058,ORTEC-SYNTH-500-s225_dyn5e,ORTEC-SYNTH-500-s225,5,ortools,120,1.0000,True,0,0,369658.3,87.05,
2026-05-02T14:26:19.963239,ORTEC-SYNTH-500-s226_dyn5e,ORTEC-SYNTH-500-s226,5,ortools,120,1.0000,True,0,0,303756.4,82.02,
2026-05-02T14:26:49.613387,ORTEC-SYNTH-500-s227_dyn5e,ORTEC-SYNTH-500-s227,5,ortools,120,1.0000,True,0,0,336232.1,80.83,
2026-05-02T14:16:13.247539,ORTEC-SYNTH-500-s209_dyn5e,ORTEC-SYNTH-500-s209,5,ortools,120,0.0000,False,0,0,0.0,724.06,
2026-05-02T14:27:24.762582,ORTEC-SYNTH-500-s228_dyn5e,ORTEC-SYNTH-500-s228,5,ortools,120,1.0000,True,0,0,366045.1,80.2,
2026-05-02T14:27:42.021583,ORTEC-SYNTH-500-s229_dyn5e,ORTEC-SYNTH-500-s229,5,ortools,120,1.0000,True,0,0,298864.0,80.37,
2026-05-02T14:28:10.445025,ORTEC-SYNTH-500-s230_dyn5e,ORTEC-SYNTH-500-s230,5,ortools,120,1.0000,True,0,0,325582.3,84.36,
2026-05-02T14:28:17.312869,ORTEC-SYNTH-500-s231_dyn5e,ORTEC-SYNTH-500-s231,5,ortools,120,1.0000,True,0,0,341158.6,81.91,
2026-05-02T14:29:02.390976,ORTEC-SYNTH-500-s233_dyn5e,ORTEC-SYNTH-500-s233,5,ortools,120,1.0000,True,0,0,305359.3,71.07,
2026-05-02T14:28:44.967747,ORTEC-SYNTH-500-s232_dyn5e,ORTEC-SYNTH-500-s232,5,ortools,120,1.0000,True,0,0,349096.4,92.23,
2026-05-02T14:29:34.809598,ORTEC-SYNTH-500-s234_dyn5e,ORTEC-SYNTH-500-s234,5,ortools,120,1.0000,True,0,0,338506.5,79.71,
2026-05-02T14:29:39.221473,ORTEC-SYNTH-500-s235_dyn5e,ORTEC-SYNTH-500-s235,5,ortools,120,1.0000,True,0,0,369056.0,91.71,
2026-05-02T14:30:13.468097,ORTEC-SYNTH-500-s236_dyn5e,ORTEC-SYNTH-500-s236,5,ortools,120,1.0000,True,0,0,337398.0,81.76,
2026-05-02T14:30:17.221835,ORTEC-SYNTH-500-s237_dyn5e,ORTEC-SYNTH-500-s237,5,ortools,120,1.0000,True,0,0,371892.8,79.11,
2026-05-02T14:31:10.934376,ORTEC-SYNTH-500-s239_dyn5e,ORTEC-SYNTH-500-s239,5,ortools,120,1.0000,True,0,0,362962.4,81.7,
2026-05-02T14:31:35.230136,ORTEC-SYNTH-500-s240_dyn5e,ORTEC-SYNTH-500-s240,5,ortools,120,1.0000,True,0,0,375601.6,70.09,
2026-05-02T14:31:36.342342,ORTEC-SYNTH-500-s241_dyn5e,ORTEC-SYNTH-500-s241,5,ortools,120,1.0000,True,0,0,321313.4,93.36,
2026-05-02T14:32:32.638062,ORTEC-SYNTH-500-s242_dyn5e,ORTEC-SYNTH-500-s242,5,ortools,120,1.0000,True,0,0,317070.4,75.09,
2026-05-02T14:30:54.519093,ORTEC-SYNTH-500-s238_dyn5e,ORTEC-SYNTH-500-s238,5,ortools,120,0.8000,False,0,0,329385.6,182.41,
2026-05-02T14:32:45.557529,ORTEC-SYNTH-500-s243_dyn5e,ORTEC-SYNTH-500-s243,5,ortools,120,1.0000,True,0,0,298901.1,84.55,
2026-05-02T14:33:09.705437,ORTEC-SYNTH-500-s244_dyn5e,ORTEC-SYNTH-500-s244,5,ortools,120,1.0000,True,0,0,340789.8,95.3,
2026-05-02T14:33:47.729327,ORTEC-SYNTH-500-s245_dyn5e,ORTEC-SYNTH-500-s245,5,ortools,120,1.0000,True,0,0,353221.7,91.28,
