feasible,improvement,instance,method,method_label,metric,n,panel,rate,scale,scenario,served_rate,size
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s98_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s98_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s98_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s99_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s99_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s99_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s200_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s200_dyn5e,100.2,
True,,,retry,DRoC retry,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s200_dyn5e,100.2,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s201_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s201_dyn5e,100.2,
True,,,retry,DRoC retry,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s201_dyn5e,100.2,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s202_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s202_dyn5e,100.2,
True,,,retry,DRoC retry,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s202_dyn5e,100.2,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s203_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s203_dyn5e,100.2,
True,,,retry,DRoC retry,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s203_dyn5e,100.2,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s204_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s204_dyn5e,100.2,
True,,,retry,DRoC retry,,,dynamic_served_rate,,500,ORTEC-SYNTH-500-s204_dyn5e,100.2,
